"PERMIT_NO","APPLIED_DATE","APPROVED_DATE","ISSUED_DATE","FINALED_DATE","EXPIRED_DATE","PARENT_PROJECT_NO","PARENT_PERMIT_NO","PermitType","PermitSubType","STATUS","ZONING_CODE1","ZONING_CODE2","SITE_SUBDIVISION","SITE_DESCRIPTION","SITE_APN","SITE_ADDR","SITE_UNIT_NO","SITE_CITY","SITE_ZIP","DESCRIPTION","NOTES","JOBVALUE","FEES_CHARGED","FEES_PAID","CONTRACTOR_NAME","LONGITUDE","LATITUDE"
"BLDG20-1381","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","BUILDING","RES ADD/ALTER","EXPIRED","R4C","","C.T. WILMOT'S ADDI","","09-09-28-410-008","502 ELM ST","","Ann Arbor","48104","Install Radon Mitigation System","","749","115","115","SWAT Environmental Inc","-83.73045","42.27689"
"BLDG20-1382","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","BUILDING","RES ADD/ALTER","EXPIRED","R4C","","W.S. MAYNARD'S ADD","","09-09-29-314-019","430 S FIRST ST","","Ann Arbor","48103","Install Radon Mitigation System","","699","115","115","SWAT Environmental Inc","-83.75155","42.27681"
"BLDG20-1384","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-10-08 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1C","","LAUREL HILLS SUBDI","","09-09-31-414-014","1700 MERSHON DR","","Ann Arbor","48103","Radon Reduction System","","855","115","115","Protech Environmental Services","-83.76709","42.26004"
"BLDG20-1385","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","BUILDING","RES ADD/ALTER","CANCELLED","R1B","","VINEWOOD","","09-09-27-312-010","2409 VINEWOOD BLVD","","Ann Arbor","48104","Radon Reduction System","(2/10/2021 3:36 PM JHY)
permit cancelled by Protech, work was never done","855","115","115","Protech Environmental Services","-83.71571","42.27325"
"BLDG20-1387","2020-08-21 00:00:00","2020-09-01 00:00:00","2020-09-01 00:00:00","","2021-04-18 00:00:00","","","BUILDING","COMM ADD/ALT","ISSUED","M1","","ANN ARBOR INDUSTRI","","09-12-09-400-042","610 PHOENIX DR","","ANN ARBOR","48108","ZINGERMANS MAIL ORDER: Solar, roof-mounted","","180000","915","915","Homeland Builders of Michigan LLC","-83.7291","42.23193"
"BLDG20-1388","2020-08-21 00:00:00","","","","","","","BUILDING","POOL","ISSUED","PL","","SECTION SIXTEEN T2","VACANT","09-09-16-319-013","2299 PONTIAC TRL","","Ann Arbor","48105","TEST POOL ONLY","","0","15","15","CRW Test","-83.73574","42.30618"
"BLDG20-1389","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","BUILDING","RES ADD/ALTER","EXPIRED","R1A","","JENNING'S NEWPORT","","09-09-18-402-002","2129 NEWPORT RD","","Ann Arbor","48103","Replacing 9 same size windows","","19000","315","315","RBA of Minnesota - Renewal by Andersen","-83.76664","42.30304"
"BLDG20-1393","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-09-03 00:00:00","","2021-03-02 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1B","","ASSESSOR'S PLAT NO","","09-09-33-118-006","1043 FERDON RD","","Ann Arbor","48104","Roof replacement","","14975","383","383","Omega Construction of Michigan LLC","-83.72529","42.26866"
"BLDG20-1372","2020-08-21 00:00:00","2020-09-29 00:00:00","2020-10-05 00:00:00","","2021-04-03 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1D","","EBER WHITE FIRST A","","09-09-30-417-007","426 CREST AVE","","Ann Arbor","48103","Replace concrete driveway & walk- front steps-retaining wall","(8/28/2020 10:05 AM MCFR)
Hold for engineering sign off

(9/28/2020 4:02 PM JHY)
emailed doug for project cost. Once rcvd, send invoice and payment form

(9/29/2020 4:35 PM JHY)
emailed Doug for payment, once rcvd, permit can be issued","50480","753.79999999999995","753.79999999999995","Todd's Services Inc","-83.7632","42.27576"
"BLDG20-1374","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2021-02-10 00:00:00","2021-08-10 00:00:00","","","BUILDING","RES ADD/ALTER","FINALED","R1C","","ORCHARD CREST SUBD","","09-12-03-205-002","2050 CAMELOT RD","","Ann Arbor","48104","Install Radon Mitigation System","","699","115","115","SWAT Environmental Inc","-83.71747","42.2536"
