id,name,metadata,link
aata_bus_stops,AATA Bus Stops,http://data.a2gov.org/feeds/GIS/AATA%20BusStops/AATA_Bus_Stops.shp.xml,http://data.a2gov.org/feeds/GIS/AATA%20BusStops/AATABusStops.zip
building_footprints,Building Footprints,http://data.a2gov.org/feeds/GIS/AA%20Building%20Footprints/AA_Building_Footprints.shp.xml,http://data.a2gov.org/feeds/GIS/AA%20Building%20Footprints/AA_Building_Footprints.zip
catch_basins,Catch Basins,http://data.a2gov.org/feeds/GIS/Catchbasins/A2CatchBasins.shp.xml,http://data.a2gov.org/feeds/GIS/Catchbasins/A2Catchbasins.zip
city_boundary,City Boundary,http://data.a2gov.org/feeds/GIS/AA%20City%20Boundary/AA_City_Boundary.shp.xml,http://data.a2gov.org/feeds/GIS/AA%20City%20Boundary/AA_City_Boundary.zip
city_owned_land,City Owned Land,http://data.a2gov.org/feeds/GIS/AA%20City%20Owned%20Land/AA_City_Owned_Land.shp.xml,http://data.a2gov.org/feeds/GIS/AA%20City%20Owned%20Land/AA_City_Owned_Land.zip
dda_boundary,DDA Boundary,http://data.a2gov.org/feeds/GIS/AA%20DDA%20Boundary/AA_DDA_Boundary.shp.xml,http://data.a2gov.org/feeds/GIS/AA%20DDA%20Boundary/AA_DDA_Boundary.zip
floodplain,Floodplain,http://data.a2gov.org/feeds/GIS/AA%20Floodplain/AA_Floodplain.shp.xml,http://data.a2gov.org/feeds/GIS/AA%20Floodplain/AA_Floodplain.zip
floodway,Floodway,http://data.a2gov.org/feeds/GIS/AA%20Floodway/AA_Floodway.shp.xml,http://data.a2gov.org/feeds/GIS/AA%20Floodway/AA_Floodway.zip
future_landuse,Future LandUse,http://data.a2gov.org/feeds/GIS/AA%20Future%20LandUse/AA_Future_LandUse.shp.xml,http://data.a2gov.org/feeds/GIS/AA%20Future%20LandUse/AA_Future_LandUse.zip
greenbelt_boundary,Greenbelt Boundary,http://data.a2gov.org/feeds/GIS/AA%20Greenbelt%20Boundary/AA_Greenbelt_Boundary.shp.xml,http://data.a2gov.org/feeds/GIS/AA%20Greenbelt%20Boundary/AA_Greenbelt_Boundary.zip
